Logs start:
Epoch: [47/60], PSNR in validation: 40.51, loss in validation: 0.00608
Epoch: [48/60], PSNR in training: 40.37, Pmask: 0.504569
Epoch: [48/60], PSNR in validation: 40.51, loss in validation: 0.00608
Epoch: [49/60], PSNR in training: 40.37, Pmask: 0.504569
Epoch: [49/60], PSNR in validation: 40.51, loss in validation: 0.00607
Epoch: [50/60], PSNR in training: 40.37, Pmask: 0.504569
Epoch: [50/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [51/60], PSNR in training: 40.37, Pmask: 0.504569
Epoch: [51/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [52/60], PSNR in training: 40.38, Pmask: 0.504569
Epoch: [52/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [53/60], PSNR in training: 40.38, Pmask: 0.504569
Epoch: [53/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [54/60], PSNR in training: 40.38, Pmask: 0.504569
Epoch: [54/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [55/60], PSNR in training: 40.38, Pmask: 0.504569
Epoch: [55/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [56/60], PSNR in training: 40.38, Pmask: 0.504569
Epoch: [56/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [57/60], PSNR in training: 40.38, Pmask: 0.504569
Epoch: [57/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [58/60], PSNR in training: 40.38, Pmask: 0.504569
Epoch: [58/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [59/60], PSNR in training: 40.39, Pmask: 0.504569
Epoch: [59/60], PSNR in validation: 40.52, loss in validation: 0.00607
Epoch: [60/60], PSNR in training: 40.39, Pmask: 0.504569
Epoch: [60/60], PSNR in validation: 40.52, loss in validation: 0.00607
