Logs start:
Epoch: [1/60], PSNR in training: 39.93, Pmask: 0.505519
Epoch: [1/60], PSNR in validation: 40.72, loss in validation: 0.00612
Epoch: [2/60], PSNR in training: 40.44, Pmask: 0.505519
Epoch: [2/60], PSNR in validation: 40.72, loss in validation: 0.00608
Epoch: [3/60], PSNR in training: 40.45, Pmask: 0.505519
Epoch: [3/60], PSNR in validation: 40.72, loss in validation: 0.00605
Epoch: [4/60], PSNR in training: 40.45, Pmask: 0.505519
Epoch: [4/60], PSNR in validation: 40.73, loss in validation: 0.00604
Epoch: [5/60], PSNR in training: 40.45, Pmask: 0.505519
Epoch: [5/60], PSNR in validation: 40.73, loss in validation: 0.00604
Epoch: [6/60], PSNR in training: 40.46, Pmask: 0.505519
Epoch: [6/60], PSNR in validation: 40.73, loss in validation: 0.00604
Epoch: [7/60], PSNR in training: 40.46, Pmask: 0.505519
Epoch: [7/60], PSNR in validation: 40.73, loss in validation: 0.00604
Epoch: [8/60], PSNR in training: 40.46, Pmask: 0.505519
Epoch: [8/60], PSNR in validation: 40.73, loss in validation: 0.00604
Epoch: [9/60], PSNR in training: 40.46, Pmask: 0.505519
Epoch: [9/60], PSNR in validation: 40.74, loss in validation: 0.00604
Epoch: [10/60], PSNR in training: 40.47, Pmask: 0.505519
Epoch: [10/60], PSNR in validation: 40.74, loss in validation: 0.00604
Epoch: [11/60], PSNR in training: 40.47, Pmask: 0.505519
Epoch: [11/60], PSNR in validation: 40.74, loss in validation: 0.00604
Epoch: [12/60], PSNR in training: 40.47, Pmask: 0.505519
Epoch: [12/60], PSNR in validation: 40.74, loss in validation: 0.00604
Epoch: [13/60], PSNR in training: 40.47, Pmask: 0.505519
Epoch: [13/60], PSNR in validation: 40.74, loss in validation: 0.00604
Epoch: [14/60], PSNR in training: 40.47, Pmask: 0.505519
Epoch: [14/60], PSNR in validation: 40.74, loss in validation: 0.00603
Epoch: [15/60], PSNR in training: 40.48, Pmask: 0.505519
Epoch: [15/60], PSNR in validation: 40.75, loss in validation: 0.00603
Epoch: [16/60], PSNR in training: 40.48, Pmask: 0.505519
Epoch: [16/60], PSNR in validation: 40.75, loss in validation: 0.00603
Epoch: [17/60], PSNR in training: 40.48, Pmask: 0.505519
Epoch: [17/60], PSNR in validation: 40.75, loss in validation: 0.00603
Epoch: [18/60], PSNR in training: 40.48, Pmask: 0.505519
Epoch: [18/60], PSNR in validation: 40.75, loss in validation: 0.00602
Epoch: [19/60], PSNR in training: 40.48, Pmask: 0.505519
Epoch: [19/60], PSNR in validation: 40.75, loss in validation: 0.00602
Epoch: [20/60], PSNR in training: 40.49, Pmask: 0.505519
Epoch: [20/60], PSNR in validation: 40.75, loss in validation: 0.00602
Epoch: [21/60], PSNR in training: 40.49, Pmask: 0.505519
Epoch: [21/60], PSNR in validation: 40.76, loss in validation: 0.00602
Epoch: [22/60], PSNR in training: 40.49, Pmask: 0.505519
Epoch: [22/60], PSNR in validation: 40.76, loss in validation: 0.00602
Epoch: [23/60], PSNR in training: 40.49, Pmask: 0.505519
Epoch: [23/60], PSNR in validation: 40.76, loss in validation: 0.00602
Epoch: [24/60], PSNR in training: 40.50, Pmask: 0.505519
Epoch: [24/60], PSNR in validation: 40.76, loss in validation: 0.00602
Epoch: [25/60], PSNR in training: 40.50, Pmask: 0.505519
Epoch: [25/60], PSNR in validation: 40.76, loss in validation: 0.00601
Epoch: [26/60], PSNR in training: 40.50, Pmask: 0.505519
Epoch: [26/60], PSNR in validation: 40.76, loss in validation: 0.00601
Epoch: [27/60], PSNR in training: 40.50, Pmask: 0.505519
Epoch: [27/60], PSNR in validation: 40.76, loss in validation: 0.00601
Epoch: [28/60], PSNR in training: 40.50, Pmask: 0.505519
Epoch: [28/60], PSNR in validation: 40.76, loss in validation: 0.00601
Epoch: [29/60], PSNR in training: 40.51, Pmask: 0.505519
Epoch: [29/60], PSNR in validation: 40.77, loss in validation: 0.00601
Epoch: [30/60], PSNR in training: 40.51, Pmask: 0.505519
Epoch: [30/60], PSNR in validation: 40.77, loss in validation: 0.00600
Epoch: [31/60], PSNR in training: 40.51, Pmask: 0.505519
Epoch: [31/60], PSNR in validation: 40.77, loss in validation: 0.00600
Epoch: [32/60], PSNR in training: 40.51, Pmask: 0.505519
Epoch: [32/60], PSNR in validation: 40.77, loss in validation: 0.00600
Epoch: [33/60], PSNR in training: 40.51, Pmask: 0.505519
Epoch: [33/60], PSNR in validation: 40.77, loss in validation: 0.00600
Epoch: [34/60], PSNR in training: 40.51, Pmask: 0.505519
Epoch: [34/60], PSNR in validation: 40.77, loss in validation: 0.00600
Epoch: [35/60], PSNR in training: 40.52, Pmask: 0.505519
Epoch: [35/60], PSNR in validation: 40.77, loss in validation: 0.00600
Epoch: [36/60], PSNR in training: 40.52, Pmask: 0.505519
Epoch: [36/60], PSNR in validation: 40.78, loss in validation: 0.00599
Epoch: [37/60], PSNR in training: 40.52, Pmask: 0.505519
Epoch: [37/60], PSNR in validation: 40.78, loss in validation: 0.00599
Epoch: [38/60], PSNR in training: 40.52, Pmask: 0.505519
Epoch: [38/60], PSNR in validation: 40.78, loss in validation: 0.00599
Epoch: [39/60], PSNR in training: 40.52, Pmask: 0.505519
Epoch: [39/60], PSNR in validation: 40.78, loss in validation: 0.00599
Epoch: [40/60], PSNR in training: 40.53, Pmask: 0.505519
Epoch: [40/60], PSNR in validation: 40.78, loss in validation: 0.00599
Epoch: [41/60], PSNR in training: 40.53, Pmask: 0.505519
Epoch: [41/60], PSNR in validation: 40.78, loss in validation: 0.00598
Epoch: [42/60], PSNR in training: 40.53, Pmask: 0.505519
Epoch: [42/60], PSNR in validation: 40.78, loss in validation: 0.00598
Epoch: [43/60], PSNR in training: 40.53, Pmask: 0.505519
Epoch: [43/60], PSNR in validation: 40.78, loss in validation: 0.00598
Epoch: [44/60], PSNR in training: 40.53, Pmask: 0.505519
Epoch: [44/60], PSNR in validation: 40.79, loss in validation: 0.00598
Epoch: [45/60], PSNR in training: 40.54, Pmask: 0.505519
Epoch: [45/60], PSNR in validation: 40.79, loss in validation: 0.00598
Epoch: [46/60], PSNR in training: 40.54, Pmask: 0.505519
Epoch: [46/60], PSNR in validation: 40.79, loss in validation: 0.00597
Epoch: [47/60], PSNR in training: 40.54, Pmask: 0.505519
Epoch: [47/60], PSNR in validation: 40.79, loss in validation: 0.00597
Epoch: [48/60], PSNR in training: 40.54, Pmask: 0.505519
Epoch: [48/60], PSNR in validation: 40.79, loss in validation: 0.00597
Epoch: [49/60], PSNR in training: 40.54, Pmask: 0.505519
Epoch: [49/60], PSNR in validation: 40.79, loss in validation: 0.00597
Epoch: [50/60], PSNR in training: 40.54, Pmask: 0.505519
Epoch: [50/60], PSNR in validation: 40.79, loss in validation: 0.00597
Epoch: [51/60], PSNR in training: 40.55, Pmask: 0.505519
Epoch: [51/60], PSNR in validation: 40.79, loss in validation: 0.00596
Epoch: [52/60], PSNR in training: 40.55, Pmask: 0.505519
Epoch: [52/60], PSNR in validation: 40.80, loss in validation: 0.00596
Epoch: [53/60], PSNR in training: 40.55, Pmask: 0.505519
Epoch: [53/60], PSNR in validation: 40.80, loss in validation: 0.00596
Epoch: [54/60], PSNR in training: 40.55, Pmask: 0.505519
Epoch: [54/60], PSNR in validation: 40.80, loss in validation: 0.00596
Epoch: [55/60], PSNR in training: 40.55, Pmask: 0.505519
Epoch: [55/60], PSNR in validation: 40.80, loss in validation: 0.00596
Epoch: [56/60], PSNR in training: 40.55, Pmask: 0.505519
Epoch: [56/60], PSNR in validation: 40.80, loss in validation: 0.00596
Epoch: [57/60], PSNR in training: 40.56, Pmask: 0.505519
Epoch: [57/60], PSNR in validation: 40.80, loss in validation: 0.00595
Epoch: [58/60], PSNR in training: 40.56, Pmask: 0.505519
Epoch: [58/60], PSNR in validation: 40.80, loss in validation: 0.00595
Epoch: [59/60], PSNR in training: 40.56, Pmask: 0.505519
Epoch: [59/60], PSNR in validation: 40.80, loss in validation: 0.00595
Epoch: [60/60], PSNR in training: 40.56, Pmask: 0.505519
Epoch: [60/60], PSNR in validation: 40.80, loss in validation: 0.00595
